key,name,point,cup
esp,Spain,1507,1 - 2010
ger,Germany,1318,3 - 1954; 1974; 1990
arg,Argentina,1251,2 - 1978; 1986
col,Colombia,1200,
por,Portugal,1172,
uru,Uruguay,1132,2 - 1930;  1950
ita,Italy,1120,4 - 1934;  1938; 1982; 2006
sui,Switzerland,1113,
net,Netherlands,1106,
bra,Brazil,1102,5 - 1958; 1962; 1070; 1994; 2002
bel,Belgium,1098,
gre,Greece,1055,
eng,England,1041,1 - 1966
usa,United States,1019,
chi,Chile,1014,
cro,Croatia,971,
civ,C“te d'Ivoire,918,
fra,France,893,1 - 1998
mex,Mexico,892,
bih,Bosnia-Herzegovina,886,
rus,Russia,870,
ecu,Ecuador,852,
gha,Ghana,849,
alg,Algeria,800,
crc,Costa Rica,738,
nga,Nigeria,710,
hon,Honduras,688,
irn,Iran,650,
jpn,Japan,638,
cmr,Cameroon,612,
kor,Korea Republic,577,
aus,Australia,564,
